orderid,productid,customerid,vendorid,sale_date,quantitysold,productsellingprice,totalsale,orderstatus,returndate,productname,category,subcategory,customername,customeremail,shippingaddress,billingaddress,vendorname,vendorphone,vendorrating
49234,11,115,2,2023-08-21,8,10,80,placed,,Pears,Groceries,Soap,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,United Soap company,234.456.1234,3.9
82621,19,479,10,2022-04-20,7,8,56,shipped,,50-50,Groceries,Biscuits,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Yummy Biscuits Co,444.456.7890,4.3
28653,13,431,13,2022-02-26,13,10,130,returned,2023-03-18,shallot,Vegetable,Allium,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Allium helium pte ltd,123.456.6666,3.6
96578,4,422,15,2022-03-16,3,1,3,placed,,ParleG,Groceries,Biscuits,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Yummy Biscuits Co,444.456.7890,4.3
65143,6,182,13,2023-06-11,11,10,110,shipped,,lime,Fruits,Citrus,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Health fruits,123.456.3333,4.6
25095,20,176,5,2022-10-27,6,5,30,shipped,,Cinthol,Groceries,Soap,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,United Soap company,234.456.1234,3.9
94022,12,298,3,2023-02-03,33,3,99,shipped,,Pepsudent,Groceries,Toothpaste,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Best Toothpaste pvt ltd,333.456.7890,3.4
51015,20,116,3,2022-05-23,42,10,420,shipped,,DaburLal,Groceries,Toothpaste,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Best Toothpaste pvt ltd,333.456.7890,3.4
67689,18,397,7,2022-02-24,43,5,215,placed,,Mandarin,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
96269,6,129,8,2023-07-01,14,4,56,shipped,,garlic,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
76597,11,153,14,2023-10-05,42,5,210,shipped,,DaburLal,Groceries,Toothpaste,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Best Toothpaste pvt ltd,333.456.7890,3.4
17778,4,152,13,2023-02-04,33,9,297,returned,2023-06-05,Pepsudent,Groceries,Toothpaste,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Best Toothpaste pvt ltd,333.456.7890,3.4
54900,19,327,3,2022-03-16,136,7,952,returned,2022-05-31,Almond,Fruits,Nuts,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Hard Nut Unlimited,123.456.3333,4.5
16582,9,342,7,2023-04-22,4,2,8,placed,,Methi,Vegetable,Leafy,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Green World,123.111.7890,1.1
26106,1,278,4,2023-08-28,136,1,136,returned,2023-11-16,Almond,Fruits,Nuts,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Hard Nut Unlimited,123.456.3333,4.5
